作品,作品积分,年,月
夜寒人渐暖,284419,2008,4
致命诱惑,107834,2008,5
可愛可不愛,124171,2008,6
诱拐美人,328767,2008,6
我们和37(BL),209234,2008,7
不会放过你(佐鸣),37824,2008,7
你敢不爱我么？（耽美学院系列一）,145636,2008,7
负负得正,514056,2008,8
无禁の夜,79897,2008,9
琼华往事,201692,2008,10
各安天涯,562466,2008,11
游医,227837,2008,12
原迁,199953,2008,6
佣兵日常两三事,220404,2008,7
不配相拥（争霸传奇）,34082,2008,5
霆，请融化我吧,33423,2008,6
霸王的爱,63651,2008,6
云淡风轻,89701,2008,6
至尊九五,34257,2008,7
死了都不爱,92708,2008,7
江湖之笑歌,461101,2008,8
邪典三部曲之焚烧绝境,246542,2008,9
另一个未来,191736,2008,10
（死神）白色熏香,63512,2008,1
那穿来的祸害,336458,2008,4
后不后悔,139791,2008,5
余痕,967614,2008,6
爱的反穿越,27224,2008,6
朝中措,84396,2008,6
那片镜片下的微热,72487,2008,6
魔天--千夜风祭,226378,2008,6
关于粒子世界的N种可能,49825,2008,6
所谓草稿,345400,2008,6
炎月王朝,28876,2008,7
空闲,54820,2008,7
雪后寂静,202983,2008,7
昨夜御宇,1326695,2008,7
[家庭教师同人][迪云]云淡风轻,55380,2008,7
寒影无踪,272043,2008,7
降伏小无赖,194067,2008,8
谋权（黄龙榜）,110994,2008,11
拜月沉麟,50855,2008,12
慢慢发现我爱你,101966,2008,10
浮生泯仇,59302,2008,3
锁你在身旁,57228,2008,5
谁人识得颜色,36086,2008,5
寒夜煞星,344698,2008,5
八千里路云和月,86512,2008,5
□俱乐部,68534,2008,6
江湖风月录之上善宝典,169620,2008,6
挥霍的现代版，写着玩,126419,2008,6
倾城之恋,155230,2008,6
千变风流,123679,2008,6
美人殇,54891,2008,6
燃烧的梦魇,25338,2008,6
落魂王朝,251675,2008,6
随风而逝,31432,2008,6
我到古代考大学,42369,2008,6
深宫之歌,112654,2008,6
一曲清风醉,39067,2008,6
